[1]SecuCode|[2]TradingDay|[3]Weight
601198.SSE|20191231|0.131000
600867.SSE|20191231|0.131000
603899.SSE|20191231|0.130000
600362.SSE|20191231|0.127000
600674.SSE|20191231|0.126000
002146.SZE|20191231|0.124000
002673.SZE|20191231|0.124000
601838.SSE|20191231|0.119000
000656.SZE|20191231|0.119000
600208.SSE|20191231|0.118000
600583.SSE|20191231|0.118000
000423.SZE|20191231|0.117000
600023.SSE|20191231|0.117000
601021.SSE|20191231|0.117000
600219.SSE|20191231|0.116000
002508.SZE|20191231|0.116000
000703.SZE|20191231|0.115000
601117.SSE|20191231|0.115000
600170.SSE|20191231|0.114000
000596.SZE|20191231|0.113000
002601.SZE|20191231|0.113000
600085.SSE|20191231|0.112000
300024.SZE|20191231|0.111000
002739.SZE|20191231|0.109000
601018.SSE|20191231|0.109000
601881.SSE|20191231|0.109000
601878.SSE|20191231|0.108000
603833.SSE|20191231|0.107000
000413.SZE|20191231|0.107000
002252.SZE|20191231|0.107000
000630.SZE|20191231|0.107000
600489.SSE|20191231|0.106000
600369.SSE|20191231|0.106000
002916.SZE|20191231|0.105000
300070.SZE|20191231|0.105000
002081.SZE|20191231|0.103000
600038.SSE|20191231|0.102000
600535.SSE|20191231|0.102000
000627.SZE|20191231|0.101000
000671.SZE|20191231|0.100000
601066.SSE|20191231|0.099000
600482.SSE|20191231|0.098000
600760.SSE|20191231|0.096000
600118.SSE|20191231|0.092000
600153.SSE|20191231|0.092000
002153.SZE|20191231|0.091000
002032.SZE|20191231|0.091000
000629.SZE|20191231|0.091000
601992.SSE|20191231|0.090000
603156.SSE|20191231|0.089000
600655.SSE|20191231|0.088000
002607.SZE|20191231|0.088000
600027.SSE|20191231|0.087000
600663.SSE|20191231|0.086000
000723.SZE|20191231|0.084000
002938.SZE|20191231|0.083000
601808.SSE|20191231|0.082000
600977.SSE|20191231|0.082000
002558.SZE|20191231|0.080000
300433.SZE|20191231|0.079000
000709.SZE|20191231|0.079000
601238.SSE|20191231|0.079000
601633.SSE|20191231|0.077000
600297.SSE|20191231|0.077000
601216.SSE|20191231|0.077000
600398.SSE|20191231|0.074000
600848.SSE|20191231|0.071000
002773.SZE|20191231|0.070000
600816.SSE|20191231|0.070000
601360.SSE|20191231|0.069000
002411.SZE|20191231|0.069000
601577.SSE|20191231|0.068000
600188.SSE|20191231|0.068000
601898.SSE|20191231|0.067000
002010.SZE|20191231|0.066000
002294.SZE|20191231|0.061000
600733.SSE|20191231|0.059000
601319.SSE|20191231|0.059000
600998.SSE|20191231|0.058000
000898.SZE|20191231|0.058000
600566.SSE|20191231|0.057000
600989.SSE|20191231|0.056000
600372.SSE|20191231|0.055000
600025.SSE|20191231|0.055000
600233.SSE|20191231|0.052000
000415.SZE|20191231|0.051000
601236.SSE|20191231|0.049000
002841.SZE|20191231|0.045000
002468.SZE|20191231|0.043000
600968.SSE|20191231|0.043000
601212.SSE|20191231|0.040000
002939.SZE|20191231|0.034000
601828.SSE|20191231|0.033000
601698.SSE|20191231|0.033000
603260.SSE|20191231|0.030000
600390.SSE|20191231|0.030000
002958.SZE|20191231|0.029000
002945.SZE|20191231|0.029000
600928.SSE|20191231|0.028000
601162.SSE|20191231|0.028000
601298.SSE|20191231|0.024000
600299.SSE|20191231|0.024000
