,SecurityID,ZXF
289,000760.SZE,26
290,000761.SZE,21
291,000762.SZE,12
292,000766.SZE,35
293,000767.SZE,20
294,000768.SZE,28
295,000776.SZE,41
296,000777.SZE,26
297,000778.SZE,21
298,000779.SZE,34
299,000780.SZE,11
300,000782.SZE,22
301,000783.SZE,41
302,000785.SZE,31
303,000786.SZE,24
304,000788.SZE,35
305,000789.SZE,24
306,000790.SZE,35
307,000791.SZE,20
308,000792.SZE,22
309,000793.SZE,63
310,000795.SZE,24
311,000796.SZE,32
312,000797.SZE,42
313,000798.SZE,37
314,000799.SZE,36
315,000800.SZE,30
316,000801.SZE,33
317,000802.SZE,63
318,000803.SZE,70
319,000806.SZE,27
320,000807.SZE,12
321,000809.SZE,42
322,000810.SZE,33
323,000811.SZE,26
324,000812.SZE,25
325,000813.SZE,35
326,000815.SZE,25
327,000816.SZE,26
328,000818.SZE,22
329,000819.SZE,10
330,000820.SZE,20
331,000821.SZE,26
332,000822.SZE,22
333,000823.SZE,60
334,000825.SZE,21
335,000826.SZE,20
336,000828.SZE,50
337,000829.SZE,31
338,000830.SZE,22
339,000831.SZE,12
340,000833.SZE,25
341,000835.SZE,63
342,000836.SZE,61
343,000837.SZE,26
344,000838.SZE,42
345,000839.SZE,70
346,000848.SZE,36
347,000850.SZE,34
348,000851.SZE,61
349,000852.SZE,26
350,000856.SZE,26
351,000858.SZE,36
352,000859.SZE,22
353,000860.SZE,36
354,000861.SZE,31
355,000862.SZE,27
356,000863.SZE,42
357,000868.SZE,30
358,000869.SZE,36
359,000875.SZE,20
360,000876.SZE,37
361,000877.SZE,24
362,000878.SZE,12
363,000880.SZE,26
364,000881.SZE,70
365,000882.SZE,31
366,000883.SZE,20
367,000885.SZE,24
368,000886.SZE,50
369,000887.SZE,30
370,000888.SZE,32
371,000889.SZE,61
372,000890.SZE,26
373,000892.SZE,63
374,000893.SZE,37
375,000895.SZE,36
376,000897.SZE,42
377,000898.SZE,21
378,000899.SZE,20
379,000900.SZE,50
380,000901.SZE,28
381,000902.SZE,22
382,000903.SZE,30
383,000905.SZE,50
384,000906.SZE,31
385,000908.SZE,35
386,000909.SZE,70
387,000910.SZE,25
388,000911.SZE,37
389,000912.SZE,22
390,000913.SZE,30
391,000915.SZE,35
392,000917.SZE,63
393,000918.SZE,42
394,000919.SZE,35
395,000920.SZE,20
396,000921.SZE,33
397,000922.SZE,27
398,000923.SZE,26
399,000925.SZE,26
400,000926.SZE,42
401,000927.SZE,30
402,000928.SZE,23
403,000929.SZE,36
404,000930.SZE,37
405,000931.SZE,70
406,000932.SZE,21
407,000933.SZE,12
408,000935.SZE,24
409,000936.SZE,22
410,000937.SZE,11
411,000938.SZE,62
